,0
714,0 days 00:00:00.006006000
715,0 days 00:00:00.006072000
716,0 days 00:00:00.006160000
717,0 days 00:00:00.006185000
718,0 days 00:00:00.006087000
719,0 days 00:00:00.006386000
720,0 days 00:00:00.006020000
721,0 days 00:00:00.006568000
722,0 days 00:00:00.006155000
723,0 days 00:00:00.006239000
724,0 days 00:00:00.005800000
725,0 days 00:00:00.006125000
726,0 days 00:00:00.006008000
727,0 days 00:00:00.006308000
728,0 days 00:00:00.005915000
729,0 days 00:00:00.006476000
730,0 days 00:00:00.005794000
731,0 days 00:00:00.006009000
732,0 days 00:00:00.005854000
733,0 days 00:00:00.006056000
734,0 days 00:00:00.005891000
735,0 days 00:00:00.006436000
736,0 days 00:00:00.005984000
737,0 days 00:00:00.006288000
738,0 days 00:00:00.006202000
739,0 days 00:00:00.006132000
740,0 days 00:00:00.006002000
741,0 days 00:00:00.006024000
742,0 days 00:00:00.006154000
743,0 days 00:00:00.006385000
744,0 days 00:00:00.005995000
745,0 days 00:00:00.005957000
746,0 days 00:00:00.006112000
747,0 days 00:00:00.006156000
748,0 days 00:00:00.005962000
749,0 days 00:00:00.006160000
750,0 days 00:00:00.005996000
751,0 days 00:00:00.006518000
752,0 days 00:00:00.004920000
753,0 days 00:00:00.006164000
754,0 days 00:00:00.006347000
755,0 days 00:00:00.006357000
756,0 days 00:00:00.006144000
757,0 days 00:00:00.006149000
758,0 days 00:00:00.006323000
759,0 days 00:00:00.006094000
760,0 days 00:00:00.006279000
761,0 days 00:00:00.006119000
762,0 days 00:00:00.006188000
763,0 days 00:00:00.006156000
764,0 days 00:00:00.006254000
765,0 days 00:00:00.006140000
766,0 days 00:00:00.006150000
767,0 days 00:00:00.006442000
768,0 days 00:00:00.005983000
769,0 days 00:00:00.005990000
770,0 days 00:00:00.006132000
771,0 days 00:00:00.006206000
772,0 days 00:00:00.004833000
773,0 days 00:00:00.007255000
774,0 days 00:00:00.005437000
775,0 days 00:00:00.006389000
776,0 days 00:00:00.006179000
777,0 days 00:00:00.006060000
778,0 days 00:00:00.006258000
779,0 days 00:00:00.006173000
780,0 days 00:00:00.006191000
781,0 days 00:00:00.006366000
782,0 days 00:00:00.006114000
783,0 days 00:00:00.006262000
784,0 days 00:00:00.006267000
785,0 days 00:00:00.006482000
786,0 days 00:00:00.006021000
787,0 days 00:00:00.006244000
788,0 days 00:00:00.006110000
789,0 days 00:00:00.006554000
790,0 days 00:00:00.006174000
791,0 days 00:00:00.006343000
792,0 days 00:00:00.006130000
793,0 days 00:00:00.006750000
794,0 days 00:00:00.006150000
795,0 days 00:00:00.006133000
796,0 days 00:00:00.006126000
797,0 days 00:00:00.006687000
798,0 days 00:00:00.006406000
799,0 days 00:00:00.008299000
800,0 days 00:00:00.006142000
801,0 days 00:00:00.006227000
802,0 days 00:00:00.006439000
803,0 days 00:00:00.006345000
804,0 days 00:00:00.006241000
805,0 days 00:00:00.006754000
806,0 days 00:00:00.006185000
807,0 days 00:00:00.006257000
808,0 days 00:00:00.006270000
809,0 days 00:00:00.007079000
810,0 days 00:00:00.006306000
811,0 days 00:00:00.006351000
812,0 days 00:00:00.006095000
813,0 days 00:00:00.006567000
814,0 days 00:00:00.006227000
815,0 days 00:00:00.006480000
816,0 days 00:00:00.006127000
817,0 days 00:00:00.006167000
818,0 days 00:00:00.006367000
819,0 days 00:00:00.006197000
820,0 days 00:00:00.006378000
821,0 days 00:00:00.006709000
822,0 days 00:00:00.006300000
823,0 days 00:00:00.006331000
824,0 days 00:00:00.006139000
825,0 days 00:00:00.007364000
826,0 days 00:00:00.006359000
827,0 days 00:00:00.006682000
828,0 days 00:00:00.006076000
829,0 days 00:00:00.006294000
830,0 days 00:00:00.006090000
831,0 days 00:00:00.006331000
832,0 days 00:00:00.006466000
833,0 days 00:00:00.006382000
834,0 days 00:00:00.006319000
835,0 days 00:00:00.006201000
836,0 days 00:00:00.006108000
837,0 days 00:00:00.006277000
838,0 days 00:00:00.006214000
839,0 days 00:00:00.006744000
840,0 days 00:00:00.006612000
841,0 days 00:00:00.006926000
842,0 days 00:00:00.006279000
843,0 days 00:00:00.006676000
844,0 days 00:00:00.006294000
845,0 days 00:00:00.006669000
846,0 days 00:00:00.006025000
847,0 days 00:00:00.006402000
848,0 days 00:00:00.006305000
849,0 days 00:00:00.006330000
850,0 days 00:00:00.006211000
851,0 days 00:00:00.006530000
852,0 days 00:00:00.006356000
853,0 days 00:00:00.006339000
854,0 days 00:00:00.006204000
855,0 days 00:00:00.006765000
856,0 days 00:00:00.006496000
857,0 days 00:00:00.006110000
858,0 days 00:00:00.006240000
859,0 days 00:00:00.006421000
860,0 days 00:00:00.006676000
861,0 days 00:00:00.006835000
862,0 days 00:00:00.006192000
863,0 days 00:00:00.006802000
864,0 days 00:00:00.006573000
865,0 days 00:00:00.006592000
866,0 days 00:00:00.006109000
867,0 days 00:00:00.006127000
868,0 days 00:00:00.006395000
869,0 days 00:00:00.006489000
870,0 days 00:00:00.006162000
871,0 days 00:00:00.006745000
872,0 days 00:00:00.006345000
873,0 days 00:00:00.006343000
